Model,MSO4104
Firmware Version,2.48

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1e-06,,,
Sample Interval,1e-09,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,500,500,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,500,100,1,2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.6860e-06,810,180,-0.82,2.76
-4.6850e-06,830,192,-0.78,2.76
-4.6840e-06,810,184,-0.78,2.84
-4.6830e-06,810,192,-0.74,2.76
-4.6820e-06,790,188,-0.66,2.84
-4.6810e-06,850,188,-0.74,2.68
-4.6800e-06,790,180,-0.78,2.84
-4.6790e-06,810,184,-0.82,2.84
-4.6780e-06,830,176,-0.86,2.84
-4.6770e-06,850,172,-0.86,2.76
-4.6760e-06,810,176,-0.82,2.84
-4.6750e-06,810,184,-0.9,2.84
-4.6740e-06,830,184,-0.94,2.76
-4.6730e-06,850,188,-0.82,2.76
-4.6720e-06,830,192,-0.86,2.84
-4.6710e-06,810,188,-0.78,2.76
-4.6700e-06,810,184,-0.78,2.84
-4.6690e-06,790,184,-0.78,2.68
-4.6680e-06,830,184,-0.74,2.76
-4.6670e-06,810,188,-0.82,2.68
-4.6660e-06,830,180,-0.82,2.84
-4.6650e-06,810,180,-0.82,2.76
-4.6640e-06,790,172,-0.78,2.84
-4.6630e-06,830,172,-0.86,2.68
-4.6620e-06,810,184,-0.82,2.84
-4.6610e-06,830,180,-0.82,2.84
-4.6600e-06,790,180,-0.78,2.76
-4.6590e-06,830,184,-0.82,2.76
-4.6580e-06,850,188,-0.82,2.84
-4.6570e-06,830,188,-0.82,2.68
-4.6560e-06,830,192,-0.78,2.84
-4.6550e-06,810,184,-0.78,2.76
-4.6540e-06,830,184,-0.78,2.84
-4.6530e-06,830,172,-0.78,2.84
-4.6520e-06,830,180,-0.74,2.92
-4.6510e-06,830,180,-0.74,2.76
-4.6500e-06,810,176,-0.74,2.84
-4.6490e-06,810,168,-0.74,2.76
-4.6480e-06,850,164,-0.78,2.84
-4.6470e-06,790,172,-0.78,2.76
-4.6460e-06,810,176,-0.78,2.84
-4.6450e-06,830,176,-0.82,2.76
-4.6440e-06,830,176,-0.78,2.84
-4.6430e-06,790,172,-0.78,2.76
-4.6420e-06,810,176,-0.74,2.76
-4.6410e-06,810,172,-0.78,2.76
-4.6400e-06,830,172,-0.74,2.84
-4.6390e-06,810,172,-0.74,2.76
-4.6380e-06,850,168,-0.78,2.84
-4.6370e-06,850,176,-0.78,2.76
-4.6360e-06,850,172,-0.7,2.92
-4.6350e-06,790,168,-0.74,2.76
-4.6340e-06,830,168,-0.78,2.76
-4.6330e-06,830,172,-0.74,2.76
-4.6320e-06,830,172,-0.78,2.76
-4.6310e-06,830,172,-0.7,2.76
-4.6300e-06,810,172,-0.78,2.84
-4.6290e-06,770,176,-0.7,2.76
-4.6280e-06,810,184,-0.66,2.76
-4.6270e-06,870,176,-0.74,2.68
-4.6260e-06,810,176,-0.7,2.76
-4.6250e-06,850,176,-0.74,2.76
-4.6240e-06,830,168,-0.66,2.76
-4.6230e-06,810,172,-0.74,2.84
-4.6220e-06,830,172,-0.66,2.84
-4.6210e-06,790,180,-0.7,2.84
-4.6200e-06,850,172,-0.66,2.84
-4.6190e-06,790,176,-0.7,2.76
-4.6180e-06,790,172,-0.66,2.84
-4.6170e-06,790,180,-0.66,2.84
-4.6160e-06,790,176,-0.66,2.84
-4.6150e-06,850,176,-0.74,2.76
-4.6140e-06,830,172,-0.66,2.76
-4.6130e-06,790,172,-0.74,2.84
-4.6120e-06,870,176,-0.62,2.92
-4.6110e-06,830,172,-0.7,2.68
-4.6100e-06,830,164,-0.66,2.84
-4.6090e-06,810,176,-0.62,2.76
-4.6080e-06,810,176,-0.7,2.84
-4.6070e-06,790,176,-0.7,2.68
-4.6060e-06,830,172,-0.74,2.84
-4.6050e-06,850,168,-0.66,2.68
-4.6040e-06,830,172,-0.78,2.84
-4.6030e-06,810,172,-0.78,2.76
-4.6020e-06,810,180,-0.78,2.84
-4.6010e-06,810,164,-0.82,2.68
-4.6000e-06,870,172,-0.74,2.84
-4.5990e-06,790,168,-0.74,2.76
-4.5980e-06,830,168,-0.74,2.68
-4.5970e-06,830,176,-0.78,2.84
-4.5960e-06,790,168,-0.74,2.84
-4.5950e-06,830,172,-0.74,2.76
-4.5940e-06,850,168,-0.7,2.84
-4.5930e-06,850,172,-0.78,2.84
-4.5920e-06,830,172,-0.7,2.84
-4.5910e-06,790,164,-0.7,2.76
-4.5900e-06,830,168,-0.74,2.76
-4.5890e-06,810,176,-0.74,2.76
-4.5880e-06,830,172,-0.7,2.84
-4.5870e-06,810,164,-0.7,2.84
-4.5860e-06,830,172,-0.7,2.92
