LECROYHDO8108A,60934,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,23-Dec-2021 15:57:23,0                 
Time,Ampl
6.91212221e-05,3.436
6.91213221e-05,3.43712
6.91214221e-05,3.43738
6.91215221e-05,3.43688
6.91216221e-05,3.436
6.91217221e-05,3.43525
6.91218221e-05,3.43525
6.91219221e-05,3.43613
6.91220221e-05,3.438
6.91221221e-05,3.44013
6.91222221e-05,3.44188
6.91223221e-05,3.44263
6.91224221e-05,3.442
6.91225221e-05,3.44037
6.91226221e-05,3.43838
6.91227221e-05,3.43663
6.91228221e-05,3.436
6.91229221e-05,3.43675
6.91230221e-05,3.43875
6.91231221e-05,3.44137
6.91232221e-05,3.444
6.91233221e-05,3.44588
6.91234221e-05,3.44663
6.91235221e-05,3.44588
6.91236221e-05,3.444
6.91237221e-05,3.44137
6.91238221e-05,3.43875
6.91239221e-05,3.43675
6.91240221e-05,3.436
6.91241221e-05,3.43675
6.91242221e-05,3.43913
6.91243221e-05,3.4425
6.91244221e-05,3.446
6.91245221e-05,3.44875
6.91246221e-05,3.44975
6.91247221e-05,3.44875
6.91248221e-05,3.446
6.91249221e-05,3.44225
6.91250221e-05,3.43863
6.91251221e-05,3.43637
6.91252221e-05,3.436
6.91253221e-05,3.43763
6.91254221e-05,3.4405
6.91255221e-05,3.44362
6.91256221e-05,3.446
6.91257221e-05,3.447
6.91258221e-05,3.44675
6.91259221e-05,3.4455
6.91260221e-05,3.444
6.91261221e-05,3.443
6.91262221e-05,3.44275
6.91263221e-05,3.44313
6.91264221e-05,3.444
6.91265221e-05,3.44475
6.91266221e-05,3.445
6.91267221e-05,3.44475
6.91268221e-05,3.444
6.91269221e-05,3.44287
6.91270221e-05,3.44163
6.91271221e-05,3.44063
6.91272221e-05,3.44
6.91273221e-05,3.44
6.91274221e-05,3.44088
6.91275221e-05,3.44225
6.91276221e-05,3.444
6.91277221e-05,3.4455
6.91278221e-05,3.44625
6.91279221e-05,3.44575
6.91280221e-05,3.444
6.91281221e-05,3.44137
6.91282221e-05,3.43863
6.91283221e-05,3.43663
6.91284221e-05,3.436
6.91285221e-05,3.43675
6.91286221e-05,3.4385
6.91287221e-05,3.4405
6.91288221e-05,3.442
6.91289221e-05,3.4425
6.91290221e-05,3.442
6.91291221e-05,3.441
6.91292221e-05,3.44
6.91293221e-05,3.43938
6.91294221e-05,3.43913
6.91295221e-05,3.43875
6.91296221e-05,3.438
6.91297221e-05,3.43625
6.91298221e-05,3.43363
6.91299221e-05,3.43063
6.91300221e-05,3.428
6.91301221e-05,3.4265
6.91302221e-05,3.4265
6.91303221e-05,3.42788
6.91304221e-05,3.43
6.91305221e-05,3.43213
6.91306221e-05,3.43363
6.91307221e-05,3.43412
6.91308221e-05,3.434
6.91309221e-05,3.43375
6.91310221e-05,3.43388
6.91311221e-05,3.43463
6.91312221e-05,3.436
6.91313221e-05,3.43738
6.91314221e-05,3.43812
6.91315221e-05,3.43775
6.91316221e-05,3.436
6.91317221e-05,3.43325
6.91318221e-05,3.43012
6.91319221e-05,3.4275
6.91320221e-05,3.426
6.91321221e-05,3.42588
6.91322221e-05,3.42713
6.91323221e-05,3.42938
6.91324221e-05,3.432
6.91325221e-05,3.43438
6.91326221e-05,3.436
6.91327221e-05,3.4365
6.91328221e-05,3.436
6.91329221e-05,3.43463
6.91330221e-05,3.43288
6.91331221e-05,3.43113
6.91332221e-05,3.43
6.91333221e-05,3.42975
6.91334221e-05,3.4305
6.91335221e-05,3.43213
6.91336221e-05,3.434
6.91337221e-05,3.43562
6.91338221e-05,3.4365
6.91339221e-05,3.43663
6.91340221e-05,3.436
6.91341221e-05,3.43538
6.91342221e-05,3.43525
6.91343221e-05,3.43613
6.91344221e-05,3.438
6.91345221e-05,3.44025
6.91346221e-05,3.44212
6.91347221e-05,3.44287
6.91348221e-05,3.442
6.91349221e-05,3.43962
6.91350221e-05,3.43663
6.91351221e-05,3.43375
6.91352221e-05,3.432
6.91353221e-05,3.43188
6.91354221e-05,3.43338
6.91355221e-05,3.43575
6.91356221e-05,3.438
6.91357221e-05,3.43938
6.91358221e-05,3.43938
6.91359221e-05,3.43812
6.91360221e-05,3.436
6.91361221e-05,3.43388
6.91362221e-05,3.43225
6.91363221e-05,3.43162
6.91364221e-05,3.432
6.91365221e-05,3.43325
6.91366221e-05,3.43487
6.91367221e-05,3.4365
6.91368221e-05,3.438
6.91369221e-05,3.439
6.91370221e-05,3.43962
6.91371221e-05,3.43988
6.91372221e-05,3.44
6.91373221e-05,3.44013
6.91374221e-05,3.4405
6.91375221e-05,3.44125
6.91376221e-05,3.442
6.91377221e-05,3.44275
6.91378221e-05,3.443
6.91379221e-05,3.44275
6.91380221e-05,3.442
6.91381221e-05,3.44088
6.91382221e-05,3.44
6.91383221e-05,3.43962
6.91384221e-05,3.44
6.91385221e-05,3.44125
6.91386221e-05,3.443
6.91387221e-05,3.44475
6.91388221e-05,3.446
6.91389221e-05,3.4465
6.91390221e-05,3.44625
6.91391221e-05,3.44537
6.91392221e-05,3.444
6.91393221e-05,3.44238
6.91394221e-05,3.44075
6.91395221e-05,3.43925
6.91396221e-05,3.438
6.91397221e-05,3.43712
6.91398221e-05,3.43688
6.91399221e-05,3.43712
6.91400221e-05,3.438
6.91401221e-05,3.43913
6.91402221e-05,3.44
6.91403221e-05,3.44025
6.91404221e-05,3.44
6.91405221e-05,3.43925
6.91406221e-05,3.43838
6.91407221e-05,3.43788
6.91408221e-05,3.438
6.91409221e-05,3.4385
6.91410221e-05,3.439
6.91411221e-05,3.439
6.91412221e-05,3.438
6.91413221e-05,3.43625
6.91414221e-05,3.43412
6.91415221e-05,3.4325
6.91416221e-05,3.432
6.91417221e-05,3.43275
6.91418221e-05,3.43463
6.91419221e-05,3.43663
6.91420221e-05,3.438
6.91421221e-05,3.43812
6.91422221e-05,3.43675
6.91423221e-05,3.4345
6.91424221e-05,3.432
6.91425221e-05,3.43012
6.91426221e-05,3.42912
6.91427221e-05,3.42925
6.91428221e-05,3.43
6.91429221e-05,3.43087
6.91430221e-05,3.4315
6.91431221e-05,3.43188
6.91432221e-05,3.432
6.91433221e-05,3.43237
6.91434221e-05,3.43312
6.91435221e-05,3.43438
6.91436221e-05,3.436
6.91437221e-05,3.43763
6.91438221e-05,3.439
6.91439221e-05,3.43975
6.91440221e-05,3.44
6.91441221e-05,3.43988
6.91442221e-05,3.43962
6.91443221e-05,3.43962
6.91444221e-05,3.44
6.91445221e-05,3.441
6.91446221e-05,3.4425
6.91447221e-05,3.44425
6.91448221e-05,3.446
6.91449221e-05,3.44738
6.91450221e-05,3.44825
6.91451221e-05,3.44837
6.91452221e-05,3.448
6.91453221e-05,3.44738
6.91454221e-05,3.44663
6.91455221e-05,3.44625
6.91456221e-05,3.446
6.91457221e-05,3.44588
6.91458221e-05,3.4455
6.91459221e-05,3.44488
6.91460221e-05,3.444
6.91461221e-05,3.44313
6.91462221e-05,3.44263
6.91463221e-05,3.44287
6.91464221e-05,3.444
6.91465221e-05,3.44563
6.91466221e-05,3.44713
6.91467221e-05,3.448
6.91468221e-05,3.448
6.91469221e-05,3.44713
6.91470221e-05,3.44575
6.91471221e-05,3.4445
6.91472221e-05,3.444
6.91473221e-05,3.44437
6.91474221e-05,3.4455
6.91475221e-05,3.44687
6.91476221e-05,3.448
6.91477221e-05,3.4485
6.91478221e-05,3.4485
6.91479221e-05,3.44813
6.91480221e-05,3.448
6.91481221e-05,3.44825
6.91482221e-05,3.44888
6.91483221e-05,3.44963
6.91484221e-05,3.45
6.91485221e-05,3.44975
6.91486221e-05,3.44888
6.91487221e-05,3.4475
6.91488221e-05,3.446
6.91489221e-05,3.44488
6.91490221e-05,3.44425
6.91491221e-05,3.444
6.91492221e-05,3.444
6.91493221e-05,3.444
6.91494221e-05,3.444
6.91495221e-05,3.44388
6.91496221e-05,3.444
6.91497221e-05,3.44437
6.91498221e-05,3.44488
6.91499221e-05,3.44563
6.91500221e-05,3.446
6.91501221e-05,3.44588
6.91502221e-05,3.44512
6.91503221e-05,3.44375
6.91504221e-05,3.442
6.91505221e-05,3.44037
6.91506221e-05,3.439
6.91507221e-05,3.43825
6.91508221e-05,3.438
6.91509221e-05,3.43838
6.91510221e-05,3.43925
6.91511221e-05,3.4405
6.91512221e-05,3.442
6.91513221e-05,3.44375
6.91514221e-05,3.4455
6.91515221e-05,3.447
6.91516221e-05,3.448
6.91517221e-05,3.4485
6.91518221e-05,3.44837
6.91519221e-05,3.44813
6.91520221e-05,3.448
6.91521221e-05,3.44825
6.91522221e-05,3.44888
6.91523221e-05,3.4495
6.91524221e-05,3.45
6.91525221e-05,3.44975
6.91526221e-05,3.44875
6.91527221e-05,3.44738
6.91528221e-05,3.446
6.91529221e-05,3.4455
6.91530221e-05,3.44612
6.91531221e-05,3.44788
6.91532221e-05,3.45
6.91533221e-05,3.45162
6.91534221e-05,3.45188
6.91535221e-05,3.4505
6.91536221e-05,3.448
6.91537221e-05,3.44537
6.91538221e-05,3.44388
6.91539221e-05,3.444
6.91540221e-05,3.446
6.91541221e-05,3.449
6.91542221e-05,3.45188
6.91543221e-05,3.45375
6.91544221e-05,3.454
6.91545221e-05,3.45325
6.91546221e-05,3.45237
6.91547221e-05,3.4525
6.91548221e-05,3.454
6.91549221e-05,3.45675
6.91550221e-05,3.45975
6.91551221e-05,3.46175
6.91552221e-05,3.462
6.91553221e-05,3.46037
6.91554221e-05,3.45737
6.91555221e-05,3.45425
6.91556221e-05,3.452
6.91557221e-05,3.451
6.91558221e-05,3.451
6.91559221e-05,3.4515
6.91560221e-05,3.452
6.91561221e-05,3.45225
6.91562221e-05,3.45275
6.91563221e-05,3.45388
6.91564221e-05,3.456
6.91565221e-05,3.45887
6.91566221e-05,3.46188
6.91567221e-05,3.46388
6.91568221e-05,3.464
6.91569221e-05,3.46225
6.91570221e-05,3.45938
6.91571221e-05,3.45625
6.91572221e-05,3.454
6.91573221e-05,3.45313
6.91574221e-05,3.45325
6.91575221e-05,3.45388
6.91576221e-05,3.454
6.91577221e-05,3.45337
6.91578221e-05,3.45213
6.91579221e-05,3.45075
6.91580221e-05,3.45
6.91581221e-05,3.45012
6.91582221e-05,3.45087
6.91583221e-05,3.45162
6.91584221e-05,3.452
6.91585221e-05,3.45188
6.91586221e-05,3.45188
6.91587221e-05,3.45237
6.91588221e-05,3.454
6.91589221e-05,3.45663
6.91590221e-05,3.4595
6.91591221e-05,3.46163
6.91592221e-05,3.462
6.91593221e-05,3.4605
6.91594221e-05,3.45788
6.91595221e-05,3.45538
6.91596221e-05,3.454
6.91597221e-05,3.4545
6.91598221e-05,3.45637
6.91599221e-05,3.45863
6.91600221e-05,3.46
6.91601221e-05,3.45962
6.91602221e-05,3.45763
6.91603221e-05,3.45463
6.91604221e-05,3.452
6.91605221e-05,3.4505
6.91606221e-05,3.45063
6.91607221e-05,3.452
6.91608221e-05,3.454
6.91609221e-05,3.45588
6.91610221e-05,3.4575
6.91611221e-05,3.45875
6.91612221e-05,3.46
6.91613221e-05,3.46113
6.91614221e-05,3.46212
6.91615221e-05,3.4625
6.91616221e-05,3.462
6.91617221e-05,3.46063
6.91618221e-05,3.45875
6.91619221e-05,3.457
6.91620221e-05,3.456
6.91621221e-05,3.45588
6.91622221e-05,3.45613
6.91623221e-05,3.45637
6.91624221e-05,3.456
6.91625221e-05,3.45513
6.91626221e-05,3.45438
6.91627221e-05,3.4545
6.91628221e-05,3.456
6.91629221e-05,3.45887
6.91630221e-05,3.46225
6.91631221e-05,3.465
6.91632221e-05,3.466
6.91633221e-05,3.46488
6.91634221e-05,3.46212
6.91635221e-05,3.45875
6.91636221e-05,3.456
6.91637221e-05,3.45463
6.91638221e-05,3.45463
6.91639221e-05,3.45538
6.91640221e-05,3.456
6.91641221e-05,3.45575
6.91642221e-05,3.45475
6.91643221e-05,3.45325
6.91644221e-05,3.452
6.91645221e-05,3.4515
6.91646221e-05,3.45175
6.91647221e-05,3.45213
6.91648221e-05,3.452
6.91649221e-05,3.451
6.91650221e-05,3.44937
6.91651221e-05,3.44738
6.91652221e-05,3.446
6.91653221e-05,3.4455
6.91654221e-05,3.44575
6.91655221e-05,3.44612
6.91656221e-05,3.446
